iter	Logloss
0	0.6906901096
1	0.6879608863
2	0.6853593735
3	0.6829572608
4	0.6809577174
5	0.6787083696
6	0.6767400148
7	0.6740835894
8	0.6720297246
9	0.6698477058
10	0.6676380459
11	0.6657637742
12	0.6636791643
13	0.6616788079
14	0.659766696
15	0.6579116401
16	0.6559069971
17	0.6539914116
18	0.6517637185
19	0.6500207788
20	0.6482474636
21	0.6466411773
22	0.6453427859
23	0.6443361778
24	0.6425038851
25	0.6410091238
26	0.6398240313
27	0.6387584458
28	0.6370794353
29	0.6359603414
30	0.6345856784
31	0.6336463993
32	0.6319894869
33	0.6307304139
34	0.6291440823
35	0.6276057162
36	0.6264830748
37	0.6250230496
38	0.6236741061
39	0.6226679415
40	0.621800204
41	0.6205095728
42	0.6194395529
43	0.6179924614
44	0.6168929527
45	0.6157612207
46	0.6140533128
47	0.6122494372
48	0.6111580213
49	0.6099240026
50	0.6090813194
51	0.6077730984
52	0.6065520873
53	0.6053363974
54	0.6043685903
55	0.6033861128
56	0.6023605846
57	0.6015780983
58	0.6003778919
59	0.5993245379
60	0.5982136476
61	0.5975474904
62	0.5967123456
63	0.5949022618
64	0.5939699299
65	0.5928312507
66	0.5918134828
67	0.5910762643
68	0.5900520665
69	0.5892193607
70	0.5883257558
71	0.5874183304
72	0.5864344856
73	0.5856272776
74	0.5845202304
75	0.5839168568
76	0.5830633094
77	0.5824254214
78	0.5812438025
79	0.5807470022
80	0.5797992238
81	0.5789438656
82	0.5781324449
83	0.5771276476
84	0.5766208699
85	0.5759514978
86	0.575331643
87	0.5748671399
88	0.5736220352
89	0.573005728
90	0.5721128622
91	0.5710214463
92	0.5701475745
93	0.5694837084
94	0.5683885602
95	0.567184954
96	0.5663957792
97	0.5657962857
98	0.5651981595
99	0.5646894973
100	0.5634819371
101	0.5626913211
102	0.5614757052
103	0.5606173538
104	0.5596939645
105	0.5585507771
106	0.5569595677
107	0.5562063115
108	0.5557766184
109	0.5551852177
110	0.553958331
111	0.5529370894
112	0.5520420434
113	0.5506826052
114	0.5499994494
115	0.5489491256
116	0.5481571423
117	0.5472067772
118	0.5467989235
119	0.5458986301
120	0.5453540123
121	0.5442537646
122	0.5431563253
123	0.5425740151
124	0.5418805124
125	0.5414268366
126	0.5408596034
127	0.5401702764
128	0.5390030693
129	0.5385115533
130	0.5381049561
131	0.5374848796
132	0.5368932572
133	0.5361791715
134	0.5352731503
135	0.5346535912
136	0.5339587951
137	0.5334604798
138	0.5329889926
139	0.5323487765
140	0.5316061259
141	0.5307959617
142	0.5302916968
143	0.5288706205
144	0.528073279
145	0.527634828
146	0.5268300959
147	0.5259482052
148	0.525042184
149	0.5242290635
150	0.5238012181
151	0.5232902278
152	0.5224581871
153	0.5217872999
154	0.5206201297
155	0.5198491359
156	0.5191196037
157	0.5181662084
158	0.5176813811
159	0.5171466298
160	0.5167843026
161	0.5160359242
162	0.5148309508
163	0.5143954191
164	0.5140089615
165	0.5131219343
166	0.5124702997
167	0.5112693542
168	0.5108595051
169	0.510100632
170	0.5093759776
171	0.5086857638
172	0.5076209173
173	0.5072689001
174	0.5068569447
175	0.5056448762
176	0.5048031908
177	0.5040686699
178	0.5036053863
179	0.502901241
180	0.5021980566
181	0.5015568428
182	0.5007966763
183	0.500069657
184	0.4993134815
185	0.4987199744
186	0.498000937
187	0.4974420182
188	0.4968413053
189	0.4962963549
190	0.4958202854
191	0.4953709332
192	0.4944510546
193	0.4934955529
194	0.4930228093
195	0.492395416
196	0.4918814695
197	0.4916071651
198	0.4907149275
199	0.4900589324
200	0.4892639929
201	0.4889581304
202	0.4884670579
203	0.4879817131
204	0.4873739052
205	0.4869163863
206	0.4863117563
207	0.4853507116
208	0.4850152495
209	0.4844290223
210	0.4838376955
211	0.4830290832
212	0.4821288637
213	0.4814822178
214	0.480960548
215	0.4800080765
216	0.4794956081
217	0.4788531748
218	0.478159746
219	0.4772622241
220	0.4766566334
221	0.4759603592
222	0.4753031446
223	0.4748363504
224	0.4740918152
225	0.4735827834
226	0.4727898394
227	0.47207871
228	0.4714221975
229	0.4710810076
230	0.4703077597
231	0.4695853965
232	0.4690017559
233	0.4679805144
234	0.4672078946
235	0.4666803123
236	0.4662624813
237	0.4658647898
238	0.4655006519
239	0.4651663723
240	0.4640871879
241	0.4630034953
242	0.4623364142
243	0.4616898791
244	0.461060786
245	0.4605132859
246	0.4599019304
247	0.4592644858
248	0.4586712374
249	0.458116051
250	0.4577161053
251	0.4572149076
252	0.4567092386
253	0.4562968397
254	0.4559050238
255	0.4551985135
256	0.4545956942
257	0.4534218355
258	0.4529023829
259	0.4523007092
260	0.4514878842
261	0.4507777895
262	0.4498118301
263	0.4491955598
264	0.4487486095
265	0.4479240704
266	0.4471275419
267	0.4467328806
268	0.4460493553
269	0.4456413538
270	0.4451829111
271	0.4445045593
272	0.4435067091
273	0.4430653758
274	0.4425113349
275	0.4419164605
276	0.4415852481
277	0.4408907107
278	0.4403939104
279	0.4397574267
280	0.439402601
281	0.438851775
282	0.4381560182
283	0.4373757122
284	0.4365481429
285	0.4359626916
286	0.4353389937
287	0.4346689564
288	0.4342122874
289	0.4333675349
290	0.4326631309
291	0.4317964281
292	0.4312740931
293	0.4308102182
294	0.4301542231
295	0.4298265212
296	0.4293003061
297	0.4282617704
298	0.4278403919
299	0.4270047668
300	0.4258991238
301	0.4253347729
302	0.4247162115
303	0.4235511847
304	0.4230706439
305	0.4226774237
306	0.421697459
307	0.4210141924
308	0.4201332994
309	0.4192636034
310	0.4185891686
311	0.4182029326
312	0.4175851473
313	0.4172267002
314	0.4165072193
315	0.4157618342
316	0.4153462573
317	0.4144494375
318	0.4137885276
319	0.4131521178
320	0.4123747311
321	0.4118269353
322	0.4111224574
323	0.4106450577
324	0.410336904
325	0.4098520027
326	0.4090005247
327	0.4081151974
328	0.4074248726
329	0.4069558243
330	0.4064784615
331	0.4056331916
332	0.4052302527
333	0.4048489685
334	0.4043300702
335	0.4036649846
336	0.4032406128
337	0.402780618
338	0.4022833744
339	0.4015256838
340	0.4008293357
341	0.4003377828
342	0.3998938997
343	0.3994206387
344	0.3986128764
345	0.3981801162
346	0.3973654066
347	0.3962874787
348	0.3959694585
349	0.3952347529
350	0.3947251668
351	0.3941770015
352	0.3936268776
353	0.393058314
354	0.3926528254
355	0.3922967803
356	0.3919143136
357	0.3914938588
358	0.3908889332
359	0.3901351597
360	0.3890117792
361	0.3883601815
362	0.3879897985
363	0.3876358228
364	0.3867520475
365	0.3859639074
366	0.3852657116
367	0.3847987697
368	0.384102052
369	0.3835246197
370	0.3832210113
371	0.3826746567
372	0.3822500262
373	0.3818558083
374	0.3814141424
375	0.3809260262
376	0.3804661054
377	0.3798898555
378	0.3793902837
379	0.3787931183
380	0.377882478
381	0.3773945835
382	0.3766729593
383	0.3760743897
384	0.3752766417
385	0.3749389993
386	0.3743998506
387	0.3738278134
388	0.3733391798
389	0.3729598172
390	0.3725087651
391	0.3718705446
392	0.3715390734
